Date,Actual_Close,Predicted_Close
2023-12-28,190.91368103027344,192.2830049995169
2023-12-29,184.0814971923828,190.8377214627608
2024-01-02,182.70318603515625,183.7119926231824
2024-01-03,180.3828125,183.54825741288644
2024-01-04,179.65895080566406,180.47341326130754
2024-01-05,184.0021514892578,179.62630218120816
2024-01-08,183.58570861816406,183.07329940281505
2024-01-09,184.62689208984375,182.5064703611388
2024-01-10,184.03192138671875,184.32942985573666
2024-01-11,184.35914611816406,182.81789376132238
2024-01-12,182.08837890625,184.51619123242122
2024-01-16,181.14633178710938,181.41639735373806
2024-01-17,187.04640197753906,180.44040285488822
2024-01-18,189.95179748535156,187.0200194006537
2024-01-19,192.26222229003906,189.63628702535794
2024-01-22,193.54139709472656,193.35546604508042
2024-01-23,192.86712646484375,193.1031132192179
2024-01-24,192.53988647460938,193.79584010246467
2024-01-25,190.8045654296875,192.63930794972927
2024-01-26,190.120361328125,191.0377114075265
2024-01-29,186.4613494873047,188.47110991476458
2024-01-30,182.85189819335938,186.89868712459617
2024-01-31,185.29127502441406,183.1990772674716
2024-02-01,184.28973388671875,184.95185888825247
2024-02-02,186.1043701171875,183.94691492905412
2024-02-05,187.71078491210938,185.49364157235442
2024-02-06,187.81985473632812,187.46011014878033
2024-02-07,186.73902893066406,187.69041496505852
2024-02-08,187.50350952148438,186.2323425808013
2024-02-09,185.8156280517578,188.05241417536953
2024-02-12,183.72067260742188,185.99630047372966
2024-02-13,182.83702087402344,182.89919286327455
2024-02-14,182.54910278320312,181.653184876735
2024-02-15,181.0101318359375,181.15425500216097
2024-02-16,180.26547241210938,181.84319003349768
2024-02-20,181.0200653076172,179.57873123225406
2024-02-21,183.05545043945312,180.4682776071032
2024-02-22,181.21864318847656,182.67381176579272
2024-02-23,179.8683319091797,181.29903096036543
2024-02-26,181.32785034179688,180.12158374403793
2024-02-27,180.12649536132812,180.83577571322715
2024-02-28,179.46127319335938,179.67487353803494
2024-02-29,178.3790283203125,179.69062376061373
2024-03-01,173.8515625,177.25834360415197
2024-03-04,168.9070281982422,173.52738769512405
2024-03-05,167.9141845703125,169.8290659084786
2024-03-06,167.79502868652344,168.01198359715684
2024-03-07,169.5126953125,168.92828273255122
2024-03-08,171.51829528808594,171.80234832330217
2024-03-11,171.99485778808594,172.33570500507392
2024-03-12,169.9098663330078,170.8587007793609
2024-03-13,171.76651000976562,170.24987515693297
2024-03-14,171.38922119140625,172.31503897365
2024-03-15,172.48138427734375,170.64822372013316
2024-03-18,174.82456970214844,174.33583544095993
2024-03-19,177.39610290527344,173.9422434619637
2024-03-20,170.1481475830078,176.51571130228663
2024-03-21,171.05166625976562,170.34619296883375
2024-03-22,169.63185119628906,170.2485090913207
2024-03-25,168.5,169.6984335794644
2024-03-26,172.07431030273438,169.87526697321985
2024-03-27,170.25733947753906,171.77605027683276
2024-03-28,168.8177032470703,170.06651807970482
2024-04-01,167.63619995117188,168.700510096077
2024-04-02,168.44039916992188,167.6278191427209
2024-04-03,167.61630249023438,169.2431975982464
2024-04-04,168.3708953857422,169.27191848997828
2024-04-05,167.24896240234375,168.7561788575515
2024-04-08,168.46026611328125,167.5591522855226
2024-04-09,166.583740234375,168.61438822034782
2024-04-10,173.79196166992188,166.53348150515131
2024-04-11,175.2912139892578,172.9161501704339
2024-04-12,171.45872497558594,176.5789814021891
2024-04-15,168.17233276367188,172.64121300721098
2024-04-16,166.8021697998047,169.0178330799134
2024-04-17,165.84901428222656,167.99847843235293
2024-04-18,163.8235626220703,166.22356338524688
2024-04-19,164.65757751464844,163.46399915604312
2024-04-22,165.7100067138672,165.34695367054414
2024-04-23,167.81491088867188,165.4687808111003
2024-04-24,168.6787109375,167.5687145628676
2024-04-25,168.0928955078125,168.18009280432364
2024-04-26,172.262939453125,169.49730416047407
2024-04-29,169.1155548095703,174.3342349291702
2024-04-30,168.0928955078125,170.455953920008
2024-05-01,171.79629516601562,170.7292561290706
2024-05-02,182.072509765625,170.79520840416401
2024-05-03,180.4144287109375,182.05447868624034
2024-05-06,181.09950256347656,180.95121690038363
2024-05-07,181.4370574951172,181.52993998099262
2024-05-08,183.25404357910156,180.6868127927035
2024-05-09,181.99136352539062,182.81060759302338
2024-05-10,185.20269775390625,181.5734627577925
2024-05-13,186.34605407714844,185.22088137162777
2024-05-14,188.62281799316406,186.183061193569
2024-05-15,188.74209594726562,188.78920232658552
2024-05-16,188.7719268798828,189.4067932471657
2024-05-17,189.93516540527344,189.4462318188287
2024-05-20,191.2375946044922,190.28153581237225
2024-05-21,189.79595947265625,191.43892371761373
2024-05-22,185.79922485351562,189.92400988228323
2024-05-23,188.88128662109375,185.89111385972475
2024-05-24,188.89122009277344,188.6639735316349
2024-05-28,189.18951416015625,189.50280130960283
2024-05-29,190.1837158203125,190.8254479573184
2024-05-30,191.13815307617188,190.9867735099862
2024-05-31,192.90786743164062,190.0535663382888
